id,title,artist,genre,mood,tempo_bpm,valence,danceability,acousticness,release_decade,mood_tag_primary,mood_tag_secondary,billboard_peak_at_release,billboard_peak_overall
44,Blowin' in the Wind,Bob Dylan,folk,reflective,108,0.45,0.3,0.85,1960s,yearning,hope,70,70
45,The Sound of Silence,Simon & Garfunkel,folk,melancholic,65,0.25,0.25,0.85,1960s,isolation,melancholy,1,1
46,Dreams,Fleetwood Mac,rock,wistful,120,0.55,0.6,0.35,1970s,nostalgia,wistfulness,1,1
47,Someone Like You,Adele,pop,heartbroken,67,0.2,0.25,0.75,2010s,heartbreak,longing,1,1
48,Shape of You,Ed Sheeran,pop,flirty,96,0.85,0.85,0.15,2010s,flirtation,desire,1,1
49,Eine kleine Nachtmusik,Mozart,classical,elegant,140,0.75,0.3,0.98,1780s,elegance,grace,,
50,Symphony No. 5,Beethoven,classical,dramatic,108,0.4,0.2,0.98,1800s,drama,triumph,,
51,Aruarian Dance,Nujabes,lofi,nostalgic,88,0.45,0.55,0.35,2000s,nostalgia,tranquility,,
52,Electric Feel,MGMT,indie pop,dreamy,114,0.65,0.68,0.15,2000s,dreaminess,sensuality,85,70
53,Nightcall,Kavinsky,synthwave,moody,106,0.35,0.6,0.03,2010s,mystery,longing,,
54,Take Five,Dave Brubeck Quartet,jazz,relaxed,176,0.55,0.45,0.85,1950s,sophistication,calm,25,25
55,An Ending (Ascent),Brian Eno,ambient,peaceful,60,0.5,0.15,0.6,1980s,awe,solitude,,
56,Despacito,Luis Fonsi ft. Daddy Yankee,reggaeton,flirty,89,0.75,0.8,0.25,2010s,desire,celebration,1,1
57,The Thrill Is Gone,B.B. King,blues,somber,92,0.25,0.35,0.55,1970s,heartbreak,resignation,15,15
58,Under the Bridge,Red Hot Chili Peppers,alternative rock,melancholic,85,0.35,0.35,0.4,1990s,loneliness,longing,2,2
59,Alive,Pearl Jam,grunge,intense,135,0.45,0.45,0.1,1990s,resilience,defiance,90,90
60,Dynamite,BTS,k-pop,happy,114,0.9,0.85,0.05,2020s,joy,celebration,1,1
61,Sweet Child o' Mine,Guns N' Roses,rock,uplifting,125,0.7,0.45,0.05,1980s,nostalgia,joy,7,7
62,Livin' on a Prayer,Bon Jovi,rock,anthemic,123,0.75,0.55,0.05,1980s,determination,hope,1,1
63,Dream On,Aerosmith,rock,reflective,80,0.45,0.35,0.15,1970s,yearning,triumph,59,6
64,Free Fallin',Tom Petty,rock,wistful,84,0.6,0.45,0.3,1980s,freedom,nostalgia,7,7
65,You Shook Me All Night Long,AC/DC,rock,playful,127,0.78,0.62,0.03,1980s,excitement,desire,35,35
66,Another One Bites the Dust,Queen,rock,confident,110,0.65,0.82,0.05,1980s,swagger,defiance,1,1
67,Go Your Own Way,Fleetwood Mac,rock,defiant,135,0.55,0.55,0.1,1970s,heartbreak,defiance,10,10
68,Hotel California,Eagles,rock,moody,75,0.45,0.4,0.35,1970s,mystery,melancholy,1,1
69,More Than a Feeling,Boston,rock,nostalgic,109,0.68,0.48,0.08,1970s,nostalgia,yearning,5,5
70,Carry on Wayward Son,Kansas,rock,epic,127,0.55,0.45,0.1,1970s,resilience,triumph,11,11
71,Africa,Toto,pop,uplifting,93,0.8,0.67,0.1,1980s,wonder,joy,1,1
72,Take on Me,a-ha,pop,euphoric,169,0.82,0.65,0.03,1980s,romance,excitement,1,1
73,Girls Just Want to Have Fun,Cyndi Lauper,pop,happy,120,0.88,0.78,0.08,1980s,joy,freedom,2,2
74,Like a Prayer,Madonna,pop,passionate,111,0.72,0.7,0.12,1980s,passion,liberation,1,1
75,Toxic,Britney Spears,pop,intense,143,0.65,0.77,0.02,2000s,desire,danger,9,9
76,Since U Been Gone,Kelly Clarkson,pop,empowered,132,0.7,0.62,0.03,2000s,empowerment,release,2,2
77,Rolling in the Deep,Adele,pop,defiant,105,0.45,0.65,0.18,2010s,heartbreak,defiance,1,1
78,Firework,Katy Perry,pop,uplifting,124,0.82,0.7,0.08,2010s,empowerment,joy,1,1
79,Just the Way You Are,Bruno Mars,pop,romantic,109,0.82,0.64,0.1,2010s,adoration,warmth,1,1
80,Blinding Lights,The Weeknd,pop,euphoric,171,0.72,0.52,0.02,2020s,longing,excitement,1,1
81,Levitating,Dua Lipa,pop,euphoric,103,0.85,0.85,0.03,2020s,joy,flirtation,2,2
82,Anti-Hero,Taylor Swift,pop,reflective,97,0.5,0.64,0.12,2020s,self-doubt,introspection,1,1
83,Flowers,Miley Cyrus,pop,confident,118,0.78,0.72,0.06,2020s,independence,confidence,1,1
84,Good 4 U,Olivia Rodrigo,pop,angsty,166,0.48,0.56,0.02,2020s,anger,heartbreak,1,1
85,Watermelon Sugar,Harry Styles,pop,happy,95,0.86,0.7,0.12,2010s,joy,sensuality,1,1
86,Fast Car,Tracy Chapman,folk,reflective,104,0.38,0.45,0.72,1980s,yearning,escape,6,6
87,Landslide,Fleetwood Mac,folk,reflective,80,0.35,0.3,0.88,1970s,introspection,change,51,51
88,Hallelujah,Jeff Buckley,acoustic,melancholic,66,0.22,0.22,0.82,1990s,longing,reverence,,
89,Skinny Love,Bon Iver,indie folk,melancholic,76,0.25,0.3,0.9,2000s,heartbreak,isolation,,
90,Ho Hey,The Lumineers,indie folk,upbeat,80,0.72,0.55,0.75,2010s,longing,warmth,3,3
91,The A Team,Ed Sheeran,folk,somber,85,0.28,0.4,0.82,2010s,compassion,melancholy,16,16
92,"Take Me Home, Country Roads",John Denver,country,nostalgic,82,0.8,0.55,0.7,1970s,home,nostalgia,2,2
93,The Gambler,Kenny Rogers,country,reflective,88,0.62,0.55,0.55,1970s,wisdom,acceptance,16,16
94,I Walk the Line,Johnny Cash,country,devoted,99,0.58,0.5,0.58,1950s,devotion,steadfastness,17,17
95,Coat of Many Colors,Dolly Parton,country,tender,88,0.72,0.48,0.75,1970s,gratitude,family,,
96,Boot Scootin' Boogie,Brooks & Dunn,country,rowdy,131,0.82,0.78,0.22,1990s,celebration,camaraderie,50,50
97,Strawberry Wine,Deana Carter,country,nostalgic,86,0.55,0.4,0.65,1990s,nostalgia,romance,65,65
98,Live Like You Were Dying,Tim McGraw,country,inspirational,80,0.62,0.42,0.5,2000s,reflection,courage,29,29
99,Need You Now,Lady A,country,heartbroken,108,0.32,0.48,0.38,2000s,longing,heartbreak,2,2
100,The House That Built Me,Miranda Lambert,country,nostalgic,82,0.42,0.35,0.7,2010s,home,nostalgia,28,28
101,Girl Crush,Little Big Town,country,yearning,87,0.28,0.38,0.6,2010s,jealousy,longing,18,18
102,Die a Happy Man,Thomas Rhett,country,romantic,85,0.75,0.48,0.55,2010s,adoration,devotion,21,21
103,Body Like a Back Road,Sam Hunt,country,flirty,99,0.8,0.78,0.2,2010s,flirtation,desire,6,6
104,You Proof,Morgan Wallen,country,defiant,120,0.58,0.62,0.25,2020s,heartbreak,defiance,5,5
105,Something in the Orange,Zach Bryan,country,melancholic,110,0.3,0.35,0.65,2020s,heartbreak,longing,10,10
106,Texas Hold 'Em,Beyoncé,country,upbeat,110,0.8,0.78,0.28,2020s,celebration,confidence,1,1
107,Respect,Aretha Franklin,soul,empowered,115,0.8,0.72,0.12,1960s,empowerment,confidence,1,1
108,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,soul,uplifting,130,0.88,0.68,0.18,1960s,devotion,joy,19,19
109,Let's Stay Together,Al Green,soul,romantic,102,0.72,0.62,0.28,1970s,devotion,tenderness,1,1
110,Superstition,Stevie Wonder,funk,confident,100,0.72,0.86,0.08,1970s,swagger,mystery,1,1
111,September,"Earth, Wind & Fire",funk,happy,126,0.92,0.88,0.05,1970s,joy,celebration,8,8
112,Kiss,Prince,funk,flirty,112,0.82,0.88,0.04,1980s,desire,playfulness,1,1
113,No Diggity,Blackstreet,r&b,confident,89,0.66,0.82,0.05,1990s,swagger,desire,1,1
114,Say My Name,Destiny's Child,r&b,suspicious,69,0.52,0.72,0.08,1990s,doubt,confrontation,1,1
115,Fallin',Alicia Keys,r&b,soulful,95,0.38,0.55,0.45,2000s,conflict,longing,1,1
116,Yeah!,Usher ft. Lil Jon & Ludacris,r&b,rowdy,105,0.82,0.9,0.03,2000s,celebration,excitement,1,1
117,We Belong Together,Mariah Carey,r&b,heartbroken,70,0.28,0.5,0.2,2000s,heartbreak,longing,1,1
118,Adorn,Miguel,r&b,romantic,90,0.7,0.7,0.12,2010s,desire,devotion,17,17
119,Love on the Brain,Rihanna,r&b,passionate,57,0.4,0.5,0.45,2010s,passion,heartbreak,5,5
120,Redbone,Childish Gambino,r&b,moody,80,0.5,0.74,0.12,2010s,paranoia,desire,12,12
121,Snooze,SZA,r&b,romantic,72,0.55,0.6,0.18,2020s,devotion,longing,2,2
122,Juicy,The Notorious B.I.G.,hip hop,confident,96,0.72,0.78,0.05,1990s,triumph,confidence,27,27
123,California Love,2Pac ft. Dr. Dre,hip hop,celebratory,92,0.78,0.82,0.04,1990s,celebration,swagger,1,1
124,N.Y. State of Mind,Nas,hip hop,intense,84,0.35,0.62,0.03,1990s,focus,grit,,
125,Ms. Jackson,Outkast,hip hop,reflective,95,0.62,0.82,0.06,2000s,regret,reflection,1,1
126,Gold Digger,Kanye West ft. Jamie Foxx,hip hop,playful,93,0.68,0.75,0.04,2000s,humor,cynicism,1,1
127,Empire State of Mind,Jay-Z ft. Alicia Keys,hip hop,anthemic,87,0.72,0.62,0.08,2000s,ambition,triumph,1,1
128,Alright,Kendrick Lamar,hip hop,resilient,110,0.65,0.72,0.04,2010s,resilience,hope,81,81
129,God's Plan,Drake,hip hop,confident,77,0.62,0.75,0.03,2010s,gratitude,confidence,1,1
130,Old Town Road,Lil Nas X ft. Billy Ray Cyrus,hip hop,playful,136,0.78,0.88,0.12,2010s,swagger,freedom,1,1
131,Industry Baby,Lil Nas X & Jack Harlow,hip hop,triumphant,150,0.72,0.74,0.02,2020s,triumph,defiance,1,1
132,Rapper's Delight,The Sugarhill Gang,hip hop,party,112,0.85,0.86,0.05,1970s,celebration,playfulness,36,36
133,Blue Monday,New Order,synthpop,moody,130,0.42,0.78,0.02,1980s,detachment,longing,68,68
134,Enjoy the Silence,Depeche Mode,synthpop,moody,113,0.48,0.7,0.05,1990s,intimacy,melancholy,8,8
135,Midnight City,M83,synthpop,euphoric,105,0.72,0.72,0.04,2010s,nostalgia,wonder,72,72
136,Wake Me Up,Avicii,edm,uplifting,124,0.78,0.66,0.18,2010s,hope,freedom,4,4
137,Clarity,Zedd ft. Foxes,edm,euphoric,128,0.62,0.58,0.03,2010s,longing,euphoria,8,8
138,Don't You Worry Child,Swedish House Mafia,edm,uplifting,129,0.76,0.6,0.02,2010s,hope,nostalgia,6,6
139,Titanium,David Guetta ft. Sia,edm,empowered,126,0.62,0.58,0.02,2010s,resilience,empowerment,7,7
140,Levels,Avicii,edm,euphoric,126,0.88,0.72,0.02,2010s,euphoria,celebration,60,60
141,Strobe,deadmau5,edm,dreamy,128,0.55,0.45,0.03,2000s,wonder,reflection,,
142,Sandstorm,Darude,edm,intense,136,0.55,0.6,0.01,1990s,adrenaline,energy,83,83
143,Get Lucky,Daft Punk ft. Pharrell Williams,disco,happy,116,0.88,0.86,0.04,2010s,joy,desire,2,2
144,I Feel Love,Donna Summer,disco,euphoric,128,0.82,0.88,0.03,1970s,desire,euphoria,6,6
145,Le Freak,Chic,disco,party,119,0.9,0.92,0.04,1970s,celebration,freedom,1,1
146,Master of Puppets,Metallica,metal,aggressive,212,0.25,0.35,0.01,1980s,rage,power,35,35
147,The Trooper,Iron Maiden,metal,intense,160,0.45,0.42,0.01,1980s,adrenaline,defiance,,
148,Chop Suey!,System of a Down,metal,chaotic,127,0.3,0.4,0.01,2000s,chaos,anguish,76,76
149,Duality,Slipknot,metal,aggressive,144,0.25,0.45,0.01,2000s,rage,conflict,,
150,The Pretender,Foo Fighters,alternative rock,defiant,173,0.5,0.44,0.03,2000s,defiance,urgency,37,37
151,Everlong,Foo Fighters,alternative rock,passionate,158,0.55,0.48,0.08,1990s,longing,passion,,
152,Mr. Brightside,The Killers,alternative rock,angsty,148,0.48,0.58,0.02,2000s,jealousy,urgency,10,10
153,Creep,Radiohead,alternative rock,melancholic,92,0.2,0.35,0.18,1990s,alienation,longing,34,34
154,Seven Nation Army,The White Stripes,alternative rock,defiant,124,0.55,0.62,0.01,2000s,defiance,swagger,76,76
155,Basket Case,Green Day,punk,angsty,176,0.48,0.52,0.02,1990s,anxiety,rebellion,26,26
156,Misery Business,Paramore,pop punk,defiant,173,0.58,0.52,0.02,2000s,defiance,jealousy,26,26
157,"Sugar, We're Goin Down",Fall Out Boy,pop punk,angsty,162,0.55,0.55,0.02,2000s,heartbreak,urgency,8,8
158,The Middle,Jimmy Eat World,pop punk,uplifting,162,0.75,0.62,0.03,2000s,reassurance,hope,5,5
159,All the Small Things,blink-182,pop punk,playful,149,0.78,0.68,0.02,1990s,playfulness,romance,6,6
160,Feel Good Inc.,Gorillaz,alternative,moody,139,0.58,0.82,0.03,2000s,cynicism,groove,14,14
161,Pumped Up Kicks,Foster the People,indie pop,dark,128,0.55,0.8,0.1,2010s,unease,detachment,3,3
162,Dog Days Are Over,Florence + the Machine,indie pop,uplifting,150,0.82,0.6,0.18,2000s,release,joy,21,21
163,Somebody Else,The 1975,indie pop,melancholic,101,0.3,0.68,0.12,2010s,heartbreak,detachment,,
164,Do I Wanna Know?,Arctic Monkeys,indie rock,moody,85,0.35,0.58,0.08,2010s,desire,uncertainty,70,70
165,Riptide,Vance Joy,indie folk,upbeat,102,0.72,0.65,0.7,2010s,romance,whimsy,6,6
166,Heartbeats,José González,indie folk,reflective,88,0.35,0.35,0.95,2000s,intimacy,reflection,,
167,Holocene,Bon Iver,indie folk,reflective,74,0.32,0.28,0.9,2010s,awe,introspection,,
168,Bloom,The Paper Kites,indie folk,romantic,96,0.62,0.45,0.92,2010s,tenderness,adoration,,
169,Banana Pancakes,Jack Johnson,acoustic,relaxed,114,0.78,0.62,0.9,2000s,contentment,warmth,,
170,Better Together,Jack Johnson,acoustic,romantic,110,0.76,0.58,0.92,2000s,adoration,contentment,,
171,I'm Yours,Jason Mraz,acoustic,carefree,151,0.85,0.7,0.78,2000s,joy,affection,6,6
172,Bubbly,Colbie Caillat,acoustic,happy,127,0.82,0.65,0.82,2000s,warmth,romance,5,5
173,The Scientist,Coldplay,alternative rock,melancholic,73,0.28,0.3,0.55,2000s,regret,longing,18,18
174,Yellow,Coldplay,alternative rock,romantic,87,0.68,0.42,0.3,2000s,devotion,wonder,48,48
175,Fix You,Coldplay,alternative rock,hopeful,69,0.42,0.3,0.48,2000s,comfort,hope,59,59
176,Chasing Cars,Snow Patrol,alternative rock,romantic,104,0.52,0.42,0.32,2000s,devotion,longing,5,5
177,Hurt,Johnny Cash,acoustic,somber,92,0.18,0.28,0.9,2000s,regret,mortality,,
178,Nothing Compares 2 U,Sinéad O'Connor,pop,heartbroken,67,0.18,0.3,0.55,1990s,heartbreak,longing,1,1
179,I Will Always Love You,Whitney Houston,pop,heartbroken,67,0.3,0.28,0.6,1990s,devotion,farewell,1,1
180,Valerie,Amy Winehouse,soul,yearning,107,0.68,0.72,0.18,2000s,longing,playfulness,,
181,Feeling Good,Nina Simone,jazz,confident,79,0.7,0.48,0.55,1960s,confidence,freedom,,
182,At Last,Etta James,soul,romantic,87,0.72,0.38,0.58,1960s,relief,adoration,47,47
183,What a Wonderful World,Louis Armstrong,jazz,peaceful,72,0.9,0.3,0.72,1960s,gratitude,wonder,32,32
184,Fly Me to the Moon,Frank Sinatra,jazz,romantic,119,0.78,0.58,0.45,1960s,romance,optimism,,
185,So What,Miles Davis,jazz,cool,136,0.48,0.42,0.7,1950s,sophistication,calm,,
186,My Favorite Things,John Coltrane,jazz,uplifting,180,0.7,0.42,0.65,1960s,wonder,joy,,
187,Clair de Lune,Claude Debussy,classical,peaceful,66,0.42,0.1,0.99,1900s,serenity,wonder,,
188,Moonlight Sonata,Beethoven,classical,melancholic,56,0.2,0.08,0.99,1800s,melancholy,reflection,,
189,The Four Seasons: Spring,Antonio Vivaldi,classical,uplifting,108,0.82,0.22,0.99,1720s,renewal,joy,,
190,Canon in D,Johann Pachelbel,classical,serene,76,0.65,0.15,0.99,1680s,serenity,grace,,
191,Gymnopédie No. 1,Erik Satie,classical,peaceful,70,0.35,0.08,0.99,1880s,calm,introspection,,
192,Weightless,Marconi Union,ambient,peaceful,60,0.45,0.12,0.85,2010s,calm,serenity,,
193,Avril 14th,Aphex Twin,ambient,reflective,84,0.42,0.12,0.88,2000s,nostalgia,reflection,,
194,Porcelain,Moby,ambient,dreamy,95,0.48,0.52,0.35,1990s,dreaminess,melancholy,14,14
195,Intro,The xx,ambient,moody,100,0.4,0.48,0.3,2000s,mystery,intimacy,,
196,Sunset Lover,Petit Biscuit,electronic,dreamy,91,0.68,0.62,0.18,2010s,nostalgia,warmth,,
197,Lean On,Major Lazer & DJ Snake ft. MØ,edm,upbeat,98,0.72,0.82,0.04,2010s,freedom,celebration,4,4
198,Gasolina,Daddy Yankee,reggaeton,party,96,0.82,0.9,0.03,2000s,celebration,energy,32,32
199,Mi Gente,J Balvin & Willy William,reggaeton,party,105,0.85,0.9,0.03,2010s,celebration,swagger,3,3
200,Smooth,Santana ft. Rob Thomas,latin rock,passionate,116,0.78,0.68,0.06,1990s,passion,desire,1,1
201,La Bamba,Los Lobos,latin rock,happy,156,0.88,0.75,0.15,1980s,joy,celebration,1,1
202,Could You Be Loved,Bob Marley & The Wailers,reggae,uplifting,103,0.82,0.78,0.2,1980s,love,hope,56,56
203,Is This Love,Bob Marley & The Wailers,reggae,romantic,123,0.78,0.72,0.35,1970s,devotion,warmth,56,56
204,Red Red Wine,UB40,reggae,relaxed,89,0.62,0.7,0.3,1980s,longing,relaxation,1,1
205,The Harder They Come,Jimmy Cliff,reggae,defiant,97,0.68,0.65,0.3,1970s,resilience,defiance,,
206,Pride and Joy,Stevie Ray Vaughan,blues,confident,126,0.72,0.58,0.08,1980s,swagger,joy,,
207,I'd Rather Go Blind,Etta James,blues,heartbroken,72,0.18,0.3,0.6,1960s,heartbreak,desperation,,
208,Mannish Boy,Muddy Waters,blues,confident,108,0.7,0.55,0.35,1950s,swagger,confidence,,
209,The Man Who Sold the World,Nirvana,acoustic,moody,115,0.35,0.42,0.72,1990s,alienation,mystery,,
210,Fast Car,Luke Combs,country,reflective,104,0.45,0.48,0.45,2020s,yearning,escape,2,2
