id,title,artist,genre,mood,tempo_bpm,valence,danceability,acousticness,release_decade,mood_tag_primary,mood_tag_secondary,billboard_peak_at_release,billboard_peak_overall
44,Blowin' in the Wind,Bob Dylan,folk,reflective,108,0.45,0.30,0.85,1960s,yearning,hope,70,70
45,The Sound of Silence,Simon & Garfunkel,folk,melancholic,65,0.25,0.25,0.85,1960s,isolation,melancholy,1,1
46,Dreams,Fleetwood Mac,rock,wistful,120,0.55,0.60,0.35,1970s,nostalgia,wistfulness,1,1
47,Someone Like You,Adele,pop,heartbroken,67,0.20,0.25,0.75,2010s,heartbreak,longing,1,1
48,Shape of You,Ed Sheeran,pop,flirty,96,0.85,0.85,0.15,2010s,flirtation,desire,1,1
49,Eine kleine Nachtmusik,Mozart,classical,elegant,140,0.75,0.30,0.98,1780s,elegance,grace,,
50,Symphony No. 5,Beethoven,classical,dramatic,108,0.40,0.20,0.98,1800s,drama,triumph,,
51,Aruarian Dance,Nujabes,lofi,nostalgic,88,0.45,0.55,0.35,2000s,nostalgia,tranquility,,
52,Electric Feel,MGMT,indie pop,dreamy,114,0.65,0.68,0.15,2000s,dreaminess,sensuality,85,70
53,Nightcall,Kavinsky,synthwave,moody,106,0.35,0.60,0.03,2010s,mystery,longing,,
54,Take Five,Dave Brubeck Quartet,jazz,relaxed,176,0.55,0.45,0.85,1950s,sophistication,calm,25,25
55,An Ending (Ascent),Brian Eno,ambient,peaceful,60,0.50,0.15,0.60,1980s,awe,solitude,,
56,Despacito,Luis Fonsi ft. Daddy Yankee,reggaeton,flirty,89,0.75,0.80,0.25,2010s,desire,celebration,1,1
57,The Thrill Is Gone,B.B. King,blues,somber,92,0.25,0.35,0.55,1970s,heartbreak,resignation,15,15
58,Under the Bridge,Red Hot Chili Peppers,alternative rock,melancholic,85,0.35,0.35,0.40,1990s,loneliness,longing,2,2
59,Alive,Pearl Jam,grunge,intense,135,0.45,0.45,0.10,1990s,resilience,defiance,90,90
60,Dynamite,BTS,k-pop,happy,114,0.90,0.85,0.05,2020s,joy,celebration,1,1
